Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Auditory Discrimination","Encyclopedia of Clinical Neuropsychology","","","","10.1007/978-3-319-56782-2_1436-2","Kelly BroxtermanBeth KuczynskiStephanie A. Kolakowsky-HaynerAlyssa Beukema","2017","http://link.springer.com/referenceworkentry/10.1007/978-3-319-56782-2_1436-2","ReferenceWorkEntry"
"The creation and pilot validation of the Greek test for auditory discrimination (in minimal pairs) for pre -school children","Annals of General Psychiatry","","7","1","10.1186/1744-859X-7-S1-S199","Dionysios TafiadisEugenia ChorozopoulouEupraxia TsanousaMaria Tafiadi","2008","http://link.springer.com/article/10.1186/1744-859X-7-S1-S199","Article"
"Auditory discrimination learning in chicks after exposure to auditory and visual stimuli","Bulletin of the Psychonomic Society","","12","5","10.3758/BF03329715","M. Sosenko PetroP. J. CaprettaA. J. Cooper","1978","http://link.springer.com/article/10.3758/BF03329715","Article"
"The effects of amygdaloid lesions on a classically conditioned auditory discrimination in the rabbit (Oryctalagus cuniculus)","Psychonomic Science","","26","1","10.3758/BF03337881","Ernest D. KembleJoyce Monteau AlbinDale W. Leonard","1972","http://link.springer.com/article/10.3758/BF03337881","Article"
"Stimulus intensity dynamism during two-valued auditory discrimination acquisition: a systematic replication","Psychonomic Science","","8","1","10.3758/BF03330651","Scot Blue","1967","http://link.springer.com/article/10.3758/BF03330651","Article"
"Auditory discrimination learning: Prototype storage and distinctive features detection mechanisms","Perception & Psychophysics","","6","2","10.3758/BF03210688","Edwin G. Aiken","1969","http://link.springer.com/article/10.3758/BF03210688","Article"
"Sensory interaction: Control of auditory discrimination by visual stimulation in the pigeon","Perception & Psychophysics","","1","4","10.3758/BF03207388","David E. CarterHarold T. SauveRobert B. Zajonc","1966","http://link.springer.com/article/10.3758/BF03207388","Article"
"Presentation mode differences in the auditory discrimination of retarded children","Psychonomic Science","","16","2","10.3758/BF03336619","Jerome Smith","1969","http://link.springer.com/article/10.3758/BF03336619","Article"
"Behavioral contrast in pigeons learning an auditory discrimination","Bulletin of the Psychonomic Society","","6","2","10.3758/BF03333166","G. William Farthing","1975","http://link.springer.com/article/10.3758/BF03333166","Article"
"Serial order effects in auditory discrimination by oddity and matching to sample","Perception & Psychophysics","","10","3","10.3758/BF03205772","Donald G. Doehring","1971","http://link.springer.com/article/10.3758/BF03205772","Article"
"Vertex potentials associated with an auditory discrimination","Psychonomic Science","","22","3","10.3758/BF03332554","Shirley K. Hirsh","1971","http://link.springer.com/article/10.3758/BF03332554","Article"
"Cortical potentials evoked by confirming and disconfirming feedback following an auditory discrimination","Perception & Psychophysics","","13","1","10.3758/BF03207230","Kenneth C. SquiresSteven A. HillyardPeter H. Lindsay","1973","http://link.springer.com/article/10.3758/BF03207230","Article"
"Maximum-likelihood estimation of the accuracy of auditory discrimination in the absence of an overt response to every stimulus","Behavior Research Methods & Instrumentation","","15","5","10.3758/BF03203693","L. H. BroekhovenB. BrookerM. CziglerM. W. Donald","1983","http://link.springer.com/article/10.3758/BF03203693","Article"
"Unconscious learning of auditory discrimination using mismatch negativity (MMN) neurofeedback","Scientific Reports","","4","1","10.1038/srep06729","Ming ChangHiroyuki IizukaYasushi NaruseHideyuki AndoTaro Maeda","2014","http://link.springer.com/article/10.1038/srep06729","Article"
"Impaired auditory discrimination and auditory-motor integration in hyperfunctional voice disorders","Scientific Reports","","11","1","10.1038/s41598-021-92250-8","Defne AburAusteja SubaciuteMara Kapsner-SmithRoxanne K. SeginaLauren F. TracyJ. Pieter NoordzijCara E. Stepp","2021","http://link.springer.com/article/10.1038/s41598-021-92250-8","Article"
"Nigrostriatal dopamine pathway regulates auditory discrimination behavior","Nature Communications","","13","1","10.1038/s41467-022-33747-2","Allen P. F. ChenJeffrey M. MalgadyLu ChenKaiyo W. ShiEileen ChengJoshua L. PlotkinShaoyu GeQiaojie Xiong","2022","http://link.springer.com/article/10.1038/s41467-022-33747-2","Article"
"Auditory discrimination of tone-pulse onsets","Perception & Psychophysics","","45","1","10.3758/BF03208025","Jacek SmurzyńskiAdrianus J. M. Houtsma","1989","http://link.springer.com/article/10.3758/BF03208025","Article"
"Speech in noise perception improved by training fine auditory discrimination: far and applicable transfer of perceptual learning","Scientific Reports","","10","1","10.1038/s41598-020-76295-9","Xiang GaoTingting YanTing HuangXiaoli LiYu-Xuan Zhang","2020","http://link.springer.com/article/10.1038/s41598-020-76295-9","Article"
"Effect and artifact in the auditory discrimination of rise and decay time: Speech and nonspeech","Perception & Psychophysics","","33","4","10.3758/BF03205877","Marcel P. R. Van Den BroeckeVincent J. Van Heuven","1983","http://link.springer.com/article/10.3758/BF03205877","Article"
"Evidence of stochastic resonance in an auditory discrimination task may reflect response bias","Attention, Perception, & Psychophysics","","71","8","10.3758/APP.71.8.1931","Daniel ShepherdMichael J. Hautus","2009","http://link.springer.com/article/10.3758/APP.71.8.1931","Article"
"Zebra finches (Taeniopygia guttata) demonstrate cognitive flexibility in using phonology and sequence of syllables in auditory discrimination","Animal Cognition","","26","4","10.1007/s10071-023-01763-4","Zhi-Yuan NingHenkjan HoningCarel ten Cate","2023","http://link.springer.com/article/10.1007/s10071-023-01763-4","Article"
"Learning auditory discriminations from observation is efficient but less robust than learning from experience","Nature Communications","","9","1","10.1038/s41467-018-05422-y","Gagan NarulaJoshua A. HerbstJoerg RychenRichard H. R. Hahnloser","2018","http://link.springer.com/article/10.1038/s41467-018-05422-y","Article"
"Spike train distance metric reveals plasticity in discrimination of salient calls by putative excitatory cells of the auditory cortex","BMC Neuroscience","","13","1","10.1186/1471-2202-13-S1-P97","Charles L ZhaoFrank LinRobert C Liu","2012","http://link.springer.com/article/10.1186/1471-2202-13-S1-P97","Article"
"Correction to: Visually induced gains in pitch discrimination: Linking audio-visual processing with auditory abilities","Attention, Perception, & Psychophysics","","80","4","10.3758/s13414-018-1503-1","Cecilie MøllerAndreas HøjlundKlaus B. BærentsenNiels Chr. HansenJoshua C. SkewesPeter Vuust","2018","http://link.springer.com/article/10.3758/s13414-018-1503-1","Article"
"Amplitude modulation discrimination in a model of the electrically stimulated auditory nerve","BMC Neuroscience","","9","1","10.1186/1471-2202-9-S1-P119","Joshua H GoldwynEric Shea-Brown","2008","http://link.springer.com/article/10.1186/1471-2202-9-S1-P119","Article"
"RETRACTED ARTICLE: Neural auditory intensity discrimination during naturalistic listening: a brain decoding study","Brain Structure and Function","","222","5","10.1007/s00429-016-1324-8","Xintao HuLei GuoJunwei HanChristine Cong Guo","2017","http://link.springer.com/article/10.1007/s00429-016-1324-8","Article"
"Correction to: Auditory and frontal anatomic correlates of pitch discrimination in musicians, non‑musicians, and children without musical training","Brain Structure and Function","","225","9","10.1007/s00429-020-02164-w","María-Ángeles Palomar-GarcíaMireia HernándezGustau OlcinaJesús Adrián-VenturaVíctor CostumeroAnna Miró-PadillaEsteban Villar-RodríguezCésar Ávila","2020","http://link.springer.com/article/10.1007/s00429-020-02164-w","Article"
"Auditory sentence comprehension in children with cochlear implants after simple visual discrimination training with specific auditory-visual consequences","Learning & Behavior","","49","2","10.3758/s13420-020-00435-4","Anderson Jonas das NevesAna Claudia Moreira Almeida-VerduLeandra Tabanez do Nascimento SilvaAdriane Lima Mortari MoretDeisy das Graças de Souza","2021","http://link.springer.com/article/10.3758/s13420-020-00435-4","Article"
"Effect upon auditory interval discrimination by perturbations in the nanosecond region","Psychonomic Science","","11","6","10.3758/BF03327649","Irwin Pollack","1968","http://link.springer.com/article/10.3758/BF03327649","Article"
"Identification and discrimination functions for pure tone auditory frequencies","Psychonomic Science","","16","2","10.3758/BF03336638","James KoppHarry Udin","1969","http://link.springer.com/article/10.3758/BF03336638","Article"
"Transfer of learned discrimination from peripheral to central auditory stimulation in cats","Bulletin of the Psychonomic Society","","2","2","10.3758/BF03327734","Francis B. Colavita","1973","http://link.springer.com/article/10.3758/BF03327734","Article"
"Effects of association area lesions on auditory frequency discrimination in cat","Psychonomic Science","","8","3","10.3758/BF03330698","Richard F. ThompsonHilton E. Smith","1967","http://link.springer.com/article/10.3758/BF03330698","Article"
"The acquisition of three types of auditory pattern discrimination in the cat","Physiological Psychology","","2","4","10.3758/BF03333061","Jack B. Kelly","1974","http://link.springer.com/article/10.3758/BF03333061","Article"
"Transposition with auditory stimuli following successive discrimination training","Bulletin of the Psychonomic Society","","5","5","10.3758/BF03333283","Michael BlazJeral R. Williams","1975","http://link.springer.com/article/10.3758/BF03333283","Article"
"Temporal interference effects in auditory amplitude discrimination","Perception & Psychophysics","","1","1","10.3758/BF03207822","Robert D. Sorkin","1966","http://link.springer.com/article/10.3758/BF03207822","Article"
"Visual discrimination learning: Interactions of auditory input pattern, articulation, and instructions","Psychonomic Science","","8","8","10.3758/BF03331677","Stephen L. CarmeanJoseph C. McLachlan","1967","http://link.springer.com/article/10.3758/BF03331677","Article"
"Two choice discrimination learning as a function of stimulus similarity along an auditory intensity dimension","Psychonomic Science","","3","1 - 12","10.3758/BF03343221","John W. MooreJoseph Halpern","1965","http://link.springer.com/article/10.3758/BF03343221","Article"
"The impact of a concurrent motor task on auditory and visual temporal discrimination tasks","Attention, Perception, & Psychophysics","","78","3","10.3758/s13414-016-1082-y","Giovanna MioniMassimo GrassiVincenza TarantinoFranca StablumSimon GrondinPatrizia S. Bisiacchi","2016","http://link.springer.com/article/10.3758/s13414-016-1082-y","Article"
"Partial inactivation of songbird auditory cortex impairs both tempo and pitch discrimination","Molecular Brain","","16","1","10.1186/s13041-023-01039-5","Gunsoo KimMiguel Sánchez-ValpuestaMimi H. Kao","2023","http://link.springer.com/article/10.1186/s13041-023-01039-5","Article"
