Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Correction to: Phonological awareness in Arabic: the role of phonological distance, phonological-unit size, and SES","Reading and Writing","","33","7","10.1007/s11145-020-10069-7","Elinor Saiegh-HaddadAbeer Shahbari-KassemRachel Schif","2020","http://link.springer.com/article/10.1007/s11145-020-10069-7","Article"
"Publisher Correction: Dimensions of Parenting Stress as Predictors: Vocabulary and Phonological Awareness Skills in Preschool","Journal of Child and Family Studies","","30","12","10.1007/s10826-021-02050-x","Dilara Deniz CanMarika Ginsburg-Block","2021","http://link.springer.com/article/10.1007/s10826-021-02050-x","Article"
"Correction to: SoundHunters: Increasing Learner Phonological Awareness in Plains Cree","Artificial Intelligence in Education","","","","10.1007/978-3-030-52237-7_50","Delaney LothianGokce AkcayirAnaka SparrowOwen McleodCarrie Demmans Epp","2020","http://link.springer.com/chapter/10.1007/978-3-030-52237-7_50","Chapter"
"The effectiveness of a parent-implemented, phonological awareness programme on the phonological awareness skills of preschool children","The Australian Journal of Language and Literacy","","46","2","10.1007/s44020-023-00034-6","Hannah BennettAmanda DenstonAlison Arrow","2023","http://link.springer.com/article/10.1007/s44020-023-00034-6","Article"
"Phonological awareness deficits in Arabic-speaking children with learning disabilities","The Egyptian Journal of Otolaryngology","","31","2","10.4103/1012-5574.156103","Mohamed Ali Saad BarakahAlia Mahmoud ElshobaryNoran Nagdy El-AssalIhab Shehad HabilSally Taher Kheir Eldin MDDina Ahmed El-Refaie","2015","http://link.springer.com/article/10.4103/1012-5574.156103","Article"
"Child development: Phonological awareness: a preschool precursor of success in reading","Nature","","301","5899","10.1038/301370a0","Max Coltheart","1983","http://link.springer.com/article/10.1038/301370a0","Article"
"Literacy Toy for Enhancement Phonological Awareness: A Longitudinal Study","Computers Helping People with Special Needs","","","","10.1007/978-3-030-58805-2_44","Carlos Ramos-GalarzaHugo Arias-FloresOmar Cóndor-HerreraJanio Jadán-Guerrero","2020","http://link.springer.com/chapter/10.1007/978-3-030-58805-2_44","Chapter"
"Pistacho: An Interactive System to Support the Development of Phonological Awareness for Blind Children","Social Computing and Social Media. Communication and Social Communities","","","","10.1007/978-3-030-21905-5_16","Isabella SánchezNataly BetancurAndrés SolanoSandra Cano","2019","http://link.springer.com/chapter/10.1007/978-3-030-21905-5_16","Chapter"
"Rhythm but not melody processing helps reading via phonological awareness and phonological memory","Scientific Reports","","12","1","10.1038/s41598-022-15596-7","José SousaMarta MartinsNathércia TorresSão Luís CastroSusana Silva","2022","http://link.springer.com/article/10.1038/s41598-022-15596-7","Article"
"Phonological awareness training and phonological therapy approaches for specific language impairment children with speech sound disorders: a comparative outcome study","European Archives of Oto-Rhino-Laryngology","","281","1","10.1007/s00405-023-08274-5","Heba Mahmoud FaragHossam EldessoukyElham ShahinMai Atef","2024","http://link.springer.com/article/10.1007/s00405-023-08274-5","Article"
"Technology-Based Assessment of Phonological Awareness in Kindergarten","International Journal of Early Childhood","","","","10.1007/s13158-023-00386-7","Renáta KissBenő Csapó","2024","http://link.springer.com/article/10.1007/s13158-023-00386-7","Article"
"Effects of a phonological awareness program on English reading and spelling among Hong Kong Chinese ESL children","Reading and Writing","","26","5","10.1007/s11145-012-9383-6","Susanna S. S. YeungLinda S. SiegelCarol K. K. Chan","2013","http://link.springer.com/article/10.1007/s11145-012-9383-6","Article"
"The dimensionality of phonological awareness among Brazilian Portuguese-speaking children: a longitudinal study","Psicologia: Reflexão e Crítica","","34","1","10.1186/s41155-021-00192-x","Cláudia Nascimento Guaraldo JustiFlávia Guimarães HenriquesFrancis Ricardo dos Reis Justi","2021","http://link.springer.com/article/10.1186/s41155-021-00192-x","Article"
"Screening of phonological awareness in the early elementary grades: an IRT approach","Annals of Dyslexia","","57","1","10.1007/s11881-007-0001-2","Judith M. T. VloedgravenLudo Verhoeven","2007","http://link.springer.com/article/10.1007/s11881-007-0001-2","Article"
"Pitch discrimination associated with phonological awareness: Evidence from congenital amusia","Scientific Reports","","7","1","10.1038/srep44285","Yanan SunXuejing LuHao Tam HoWilliam Forde Thompson","2017","http://link.springer.com/article/10.1038/srep44285","Article"
"Learning to read Chinese: the roles of phonological awareness, paired–associate learning, and phonetic radical awareness","Reading and Writing","","36","7","10.1007/s11145-022-10352-9","Chien-Chih TsengJon-Fan HuLi-Yun ChangHsueh-Chih Chen","2023","http://link.springer.com/article/10.1007/s11145-022-10352-9","Article"
"Pathways from morphological awareness to reading fluency: the mediating role of phonological awareness and vocabulary","Reading and Writing","","","","10.1007/s11145-023-10426-2","Sophia GiazitzidouAngeliki MouzakiSusana Padeliadu","2023","http://link.springer.com/article/10.1007/s11145-023-10426-2","Article"
"Orthographic knowledge predicts reading and spelling skills over and above general intelligence and phonological awareness","European Journal of Psychology of Education","","36","1","10.1007/s10212-020-00464-7","Jelena ZarićMarcus HasselhornTelse Nagler","2021","http://link.springer.com/article/10.1007/s10212-020-00464-7","Article"
"A common haplotype of KIAA0319 contributes to the phonological awareness skill in Chinese children","Behavioral and Brain Functions","","10","1","10.1186/1744-9081-10-23","Cadmon King-Poo LimAmabel May-Bo WongConnie Suk-Han HoMary Mui-Yee Waye","2014","http://link.springer.com/article/10.1186/1744-9081-10-23","Article"
