Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Pilot Study Comparing Teletherapy with the Conventional Face-to-Face Therapy for Speech-Language Disorders","Indian Journal of Otolaryngology and Head & Neck Surgery","","73","3","10.1007/s12070-021-02647-0","Tanvi ChaudharyAnupam KanodiaHitesh VermaChirom Amit SinghAshwani Kumar MishraKapil Sikka","2021","http://link.springer.com/article/10.1007/s12070-021-02647-0","Article"
"Correction: Localisation of a gene implicated in a severe speech and language disorder","Nature Genetics","","18","3","10.1038/ng0398-298d","","1998","http://link.springer.com/article/10.1038/ng0398-298d","Article"
"Correction to: Parent’s Perspective on Teletherapy of Pediatric Population with Speech and Language Disorder During Covid-19 Lockdown in India","Indian Journal of Otolaryngology and Head & Neck Surgery","","75","4","10.1007/s12070-023-03857-4","Monika KumariKapil SikkaPragya TyagiAnup SinghHitesh VermaChirom Amit Singh","2023","http://link.springer.com/article/10.1007/s12070-023-03857-4","Article"
"A chromosomal rearrangement in a child with severe speech and language disorder separates FOXP2 from a functional enhancer","Molecular Cytogenetics","","8","1","10.1186/s13039-015-0173-0","Martin BeckerPaolo DevannaSimon E. FisherSonja C. Vernes","2015","http://link.springer.com/article/10.1186/s13039-015-0173-0","Article"
"Parent’s Perspective on Teletherapy of Pediatric Population with Speech and Language Disorder During Covid-19 Lockdown in India","Indian Journal of Otolaryngology and Head & Neck Surgery","","75","1","10.1007/s12070-022-03310-y","Kapil Sikka","2023","http://link.springer.com/article/10.1007/s12070-022-03310-y","Article"
"17q23.2q23.3 de novo duplication in association with speech and language disorder, learning difficulties, incoordination, motor skill impairment, and behavioral disturbances: a case report","BMC Medical Genetics","","18","1","10.1186/s12881-017-0479-3","Karen WesselJehan SuleimanTamam E. KhalafShivendra KishoreArndt RolfsAyman W. El-Hattab","2017","http://link.springer.com/article/10.1186/s12881-017-0479-3","Article"
"Evaluation of a manualised speech and language therapy programme for children with social communication disorder: the SCIP feasibility study","Pilot and Feasibility Studies","","6","1","10.1186/s40814-020-00658-2","Catherine AdamsJacqueline GaileHazel RoddamJanet BaxendaleLaura ClitheroeRichard Emsley","2020","http://link.springer.com/article/10.1186/s40814-020-00658-2","Article"
"Neocerebellar Crus I Abnormalities Associated with a Speech and Language Disorder Due to a Mutation in FOXP2","The Cerebellum","","18","3","10.1007/s12311-018-0989-3","G. P. D. ArgyropoulosK. E. WatkinsE. Belton-PagnamentaF. LiégeoisK. S. SaleemM. MishkinF. Vargha-Khadem","2019","http://link.springer.com/article/10.1007/s12311-018-0989-3","Article"
"Language, Speech, and Voice Citations","Hearing, Speech, and Communication Disorders","","","","10.1007/978-1-4757-0626-0_2","","1974","http://link.springer.com/chapter/10.1007/978-1-4757-0626-0_2","Chapter"
"Neural Correlates of Developmental Speech and Language Disorders: Evidence from Neuroimaging","Current Developmental Disorders Reports","","1","3","10.1007/s40474-014-0019-1","Frédérique LiégeoisAngela MayesAngela Morgan","2014","http://link.springer.com/article/10.1007/s40474-014-0019-1","Article"
"Lateralization of ERPs to speech and handedness in the early development of Autism Spectrum Disorder","Journal of Neurodevelopmental Disorders","","9","1","10.1186/s11689-017-9185-x","Kayla H. FinchAnne M. SeeryMeagan R. TalbottCharles A. NelsonHelen Tager-Flusberg","2017","http://link.springer.com/article/10.1186/s11689-017-9185-x","Article"
"Event-related potentials to repeated speech in 9-month-old infants at risk for autism spectrum disorder","Journal of Neurodevelopmental Disorders","","6","1","10.1186/1866-1955-6-43","Anne SeeryHelen Tager-FlusbergCharles A Nelson","2014","http://link.springer.com/article/10.1186/1866-1955-6-43","Article"
"The enigmatic linguistic cerebellum: clinical relevance and unanswered questions on nonmotor speech and language deficits in cerebellar disorders","Cerebellum & Ataxias","","1","1","10.1186/2053-8871-1-12","Peter MariënAlan Beaton","2014","http://link.springer.com/article/10.1186/2053-8871-1-12","Article"
"Speech assessment tool methods for speech impaired children: a systematic literature review on the state-of-the-art in Speech impairment analysis","Multimedia Tools and Applications","","82","22","10.1007/s11042-023-14913-0","Gowri Prasood UshaJohn Sahaya Rani Alex","2023","http://link.springer.com/article/10.1007/s11042-023-14913-0","Article"
"Neurogenomics of speech and language disorders: the road ahead","Genome Biology","","14","4","10.1186/gb-2013-14-4-204","Pelagia DeriziotisSimon E Fisher","2013","http://link.springer.com/article/10.1186/gb-2013-14-4-204","Article"
"The Brave New World of Epigenetics: Embracing Complexity in the Study of Speech and Language Disorders","Current Developmental Disorders Reports","","1","3","10.1007/s40474-014-0024-4","Shelly Jo KraftLaura Segebart DeThorne","2014","http://link.springer.com/article/10.1007/s40474-014-0024-4","Article"
"Screening for language and speech delay in children under five years","BMC Pediatrics","","21","1","10.1186/s12887-021-02817-7","Sophie Jullien","2021","http://link.springer.com/article/10.1186/s12887-021-02817-7","Article"
"Autism Spectrum Disorder and auditory sensory alterations: a systematic review on the integrity of cognitive and neuronal functions related to auditory processing","Journal of Neural Transmission","","130","3","10.1007/s00702-023-02595-9","Ana Margarida GonçalvesPatricia Monteiro","2023","http://link.springer.com/article/10.1007/s00702-023-02595-9","Article"
"Abstracts of the 52nd Annual Conference of the Italian Society of Neurology","Neurological Sciences","","43","1","10.1007/s10072-022-06531-9","","2022","http://link.springer.com/article/10.1007/s10072-022-06531-9","Article"
"Genetic architecture of childhood speech disorder: a review","Molecular Psychiatry","","","","10.1038/s41380-024-02409-8","Angela T. MorganDavid J. AmorMiya D. St JohnIngrid. E. SchefferMichael S. Hildebrand","2024","http://link.springer.com/article/10.1038/s41380-024-02409-8","Article"
"Differential Diagnosis of Pediatric Speech Sound Disorder","Current Developmental Disorders Reports","","1","3","10.1007/s40474-014-0017-3","Barbara Dodd","2014","http://link.springer.com/article/10.1007/s40474-014-0017-3","Article"
"The importance of deep speech phenotyping for neurodevelopmental and genetic disorders: a conceptual review","Journal of Neurodevelopmental Disorders","","14","1","10.1186/s11689-022-09443-z","Karen V. ChenauskyHelen Tager-Flusberg","2022","http://link.springer.com/article/10.1186/s11689-022-09443-z","Article"
"Association between genes regulating neural pathways for quantitative traits of speech and language disorders","npj Genomic Medicine","","6","1","10.1038/s41525-021-00225-5","Penelope BenchekRobert P. Igo Jr.Heather Voss-HoynesYvonne WrenGabrielle MillerBarbara TruittWen ZhangMichael OstermanLisa FreebairnJessica TagH. Gerry TaylorE. Ricky ChanPanos RoussosBarbara LewisCatherine M. SteinSudha K. Iyengar","2021","http://link.springer.com/article/10.1038/s41525-021-00225-5","Article"
"Use of Videos and Digital Media in Parent-implemented Interventions for Parents of Children with Primary Speech Sound And/or Language Disorders: A Scoping Review","Journal of Child and Family Studies","","29","12","10.1007/s10826-020-01842-x","Monica L. Bellon-HarnLekeitha R. MorrisVinaya ManchaiahWilliam E. Harn","2020","http://link.springer.com/article/10.1007/s10826-020-01842-x","Article"
"Bilingualism and Speech Sound Disorders","Current Developmental Disorders Reports","","2","3","10.1007/s40474-015-0049-3","Brian A. GoldsteinChristina E. Gildersleeve-Neumann","2015","http://link.springer.com/article/10.1007/s40474-015-0049-3","Article"
"Challenges in Delivering Tele-Practice Services for Communication Disorders Among Audiologists and Speech Language Pathologists","Indian Journal of Otolaryngology and Head & Neck Surgery","","74","3","10.1007/s12070-021-03032-7","Biraj BhattaraiTanvi SanghaviB. P. Abhishek","2022","http://link.springer.com/article/10.1007/s12070-021-03032-7","Article"
"Attentional modulation of interhemispheric (a)symmetry in children with developmental language disorder","Scientific Reports","","12","1","10.1038/s41598-022-22820-x","Doris HernándezSalme KärkkäinenTerhi TulonenPäivi HeleniusRiitta SalmelinTiina Parviainen","2022","http://link.springer.com/article/10.1038/s41598-022-22820-x","Article"
"Erratum to: New Genes for Focal Epilepsies with Speech and Language Disorders","Current Neurology and Neuroscience Reports","","15","8","10.1007/s11910-015-0578-5","Samantha J. TurnerAngela T. MorganEliane Roulet PerezIngrid E. Scheffer","2015","http://link.springer.com/article/10.1007/s11910-015-0578-5","Article"
"Correction to: Utilizing an Emotional Robot Capable of Lip-Syncing in Robot-Assisted Speech Therapy Sessions for Children with Language Disorders","International Journal of Social Robotics","","15","2","10.1007/s12369-023-00972-8","Alireza EsfandbodZeynab RokhiAli F. MeghdariAlireza TaheriMinoo AlemiMahdieh Karimi","2023","http://link.springer.com/article/10.1007/s12369-023-00972-8","Article"
"Correction: The DELAD initiative for sharing language resources on speech disorders","Language Resources and Evaluation","","","","10.1007/s10579-023-09701-z","Alice LeeNicola BessellHenk van den HeuvelKatarzyna KlessaSatu Saalasti","2023","http://link.springer.com/article/10.1007/s10579-023-09701-z","Article"
"Genetic aetiologies for childhood speech disorder: novel pathways co-expressed during brain development","Molecular Psychiatry","","28","4","10.1038/s41380-022-01764-8","Antony KaspiMichael S. HildebrandVictoria E. JacksonRuth BradenOlivia van ReykTegan HowellSimone DebonoMariana LaurettaLottie MorisonMatthew J. ColemanRichard WebsterDavid ComanHimanshu GoelMathew WallisGabriel DabscheckLilian Downie","2023","http://link.springer.com/article/10.1038/s41380-022-01764-8","Article"
"Phonological awareness training and phonological therapy approaches for specific language impairment children with speech sound disorders: a comparative outcome study","European Archives of Oto-Rhino-Laryngology","","281","1","10.1007/s00405-023-08274-5","Heba Mahmoud FaragHossam EldessoukyElham ShahinMai Atef","2024","http://link.springer.com/article/10.1007/s00405-023-08274-5","Article"
"Multi-level evidence of an allelic hierarchy of USH2A variants in hearing, auditory processing and speech/language outcomes","Communications Biology","","3","1","10.1038/s42003-020-0885-5","Peter A. PerrinoLidiya TalbotRose KirklandAmanda HillAmanda R. RendallHayley S. MountfordJenny TaylorAlexzandrea N. BuscarelloNayana LahiriAnand SaggarR. Holly FitchDianne F. Newbury","2020","http://link.springer.com/article/10.1038/s42003-020-0885-5","Article"
"The DELAD initiative for sharing language resources on speech disorders","Language Resources and Evaluation","","","","10.1007/s10579-023-09655-2","Alice LeeNicola BessellHenk van den HeuvelKatarzyna KlessaSatu Saalasti","2023","http://link.springer.com/article/10.1007/s10579-023-09655-2","Article"
"Abstracts of the 16th International Congress of ESCAP European Society for Child and Adolescent Psychiatry","European Child & Adolescent Psychiatry","","24","1","10.1007/s00787-015-0714-4","","2015","http://link.springer.com/article/10.1007/s00787-015-0714-4","Article"
"S-Ketamine-Induced NMDA Receptor Blockade during Natural Speech Production and Its Implications for Formal Thought Disorder in Schizophrenia: A Pharmaco-fMRI Study","Neuropsychopharmacology","","43","6","10.1038/npp.2017.270","Arne NagelsMaurice CabanisAndrea OppelAndre Kirner-VeselinovicChristian SchalesTilo Kircher","2018","http://link.springer.com/article/10.1038/npp.2017.270","Article"
"1430 Psychosocial Treatment for Developmental Disorders of Speech and Language and Developmental Disorders of Scholastic Skills: Evidence and Care Organization.","Pediatric Research","","68","1","10.1203/00006450-201011001-01430","M EyssenS PietersJ ScheirisK De BlockD De GraeveD DeboutteH Roeyers","2010","http://link.springer.com/article/10.1203/00006450-201011001-01430","Article"
"Contribution of the Cerebellum and the Basal Ganglia to Language Production: Speech, Word Fluency, and Sentence Construction—Evidence from Pathology","The Cerebellum","","20","2","10.1007/s12311-020-01207-6","Maria Caterina Silveri","2021","http://link.springer.com/article/10.1007/s12311-020-01207-6","Article"
"Development and evaluation of a speech-generating AAC mobile app for minimally verbal children with autism spectrum disorder in Mainland China","Molecular Autism","","8","1","10.1186/s13229-017-0165-5","Sainan AnXiaoping FengYue DaiHongli BoXiuqing WangMu LiJohn Zhuohao WooXingmei LiangCheng GuoCharles Xingchao LiuLiping Wei","2017","http://link.springer.com/article/10.1186/s13229-017-0165-5","Article"
"Auditory brainstem response deficits in learning disorders and developmental language disorder: a systematic review and meta-analysis","Scientific Reports","","12","1","10.1038/s41598-022-20438-7","Lisa K. ChinnMarina A. ZhukovaRyan J. KroegerLeandro M. LedesmaJoslyn E. CavittElena L. Grigorenko","2022","http://link.springer.com/article/10.1038/s41598-022-20438-7","Article"
"Understanding developmental language disorder - the Helsinki longitudinal SLI study (HelSLI): a study protocol","BMC Psychology","","6","1","10.1186/s40359-018-0222-7","Marja LaasonenSini SmolanderPekka Lahti-NuuttilaMiika LeminenHanna-Reetta LajunenKati HeinonenAnu-Katriina PesonenTodd M. BaileyEmmanuel M. PothosTeija KujalaPaavo H. T. LeppänenChristopher W. BartlettAhmed GeneidLeena LauronenElisabet ServiceSari Kunnari","2018","http://link.springer.com/article/10.1186/s40359-018-0222-7","Article"
"Utilizing an Emotional Robot Capable of Lip-Syncing in Robot-Assisted Speech Therapy Sessions for Children with Language Disorders","International Journal of Social Robotics","","15","2","10.1007/s12369-022-00946-2","Alireza EsfandbodZeynab RokhiAli F. MeghdariAlireza TaheriMinoo AlemiMahdieh Karimi","2023","http://link.springer.com/article/10.1007/s12369-022-00946-2","Article"
"Features and Quality of a Mobile Application Employed in a Speech-Language Therapy","Human-Computer Interaction. Interaction Contexts","","","","10.1007/978-3-319-58077-7_20","Tihomir OrehovačkiDijana Plantak VukovacZlatko StapićTatjana Novosel-Herceg","2017","http://link.springer.com/chapter/10.1007/978-3-319-58077-7_20","Chapter"
"Introduction to auditory processing disorder - the language ‘barrier’","Annals of General Psychiatry","","7","1","10.1186/1744-859X-7-S1-S9","Vasiliki Iliadou","2008","http://link.springer.com/article/10.1186/1744-859X-7-S1-S9","Article"
"SPELTRA: A Robotic Assistant for Speech-and-Language Therapy","Universal Access in Human-Computer Interaction. Access to Learning, Health and Well-Being","","","","10.1007/978-3-319-20684-4_51","Vladimir Robles-BykbaevMartín López-NoresJuan Ochoa-ZambranoJorge García-DuqueJosé Juan Pazos-Arias","2015","http://link.springer.com/chapter/10.1007/978-3-319-20684-4_51","Chapter"
"Compendium","Birth Defects Compendium","","","","10.1007/978-1-349-05131-1_2","Daniel Bergsma MD, MPH","1979","http://link.springer.com/chapter/10.1007/978-1-349-05131-1_2","Chapter"
"Language and Speech in Tourette Syndrome: Phenotype and Phenomenology","Current Developmental Disorders Reports","","1","4","10.1007/s40474-014-0027-1","Larry Burd","2014","http://link.springer.com/article/10.1007/s40474-014-0027-1","Article"
"15th International Congress of ESCAP – European Society for Child and Adolescent Psychiatry 6-10 July 2013, Dublin, Ireland","European Child & Adolescent Psychiatry","","22","2","10.1007/s00787-013-0423-9","","2013","http://link.springer.com/article/10.1007/s00787-013-0423-9","Article"
"Inspecting the Quality of Educational Video Artefacts Employed in Speech-Language Pathology Telerehabilitation: A Pilot Study","Universal Access in Human-Computer Interaction. Users and Context Diversity","","","","10.1007/978-3-319-40238-3_46","Dijana Plantak VukovacTihomir OrehovačkiTatjana Novosel-Herceg","2016","http://link.springer.com/chapter/10.1007/978-3-319-40238-3_46","Chapter"
"Correction: Genetic aetiologies for childhood speech disorder: novel pathways co-expressed during brain development","Molecular Psychiatry","","28","4","10.1038/s41380-022-01879-y","Antony KaspiMichael S. HildebrandVictoria E. JacksonRuth BradenOlivia van ReykTegan HowellSimone DebonoMariana LaurettaLottie MorisonMatthew J. ColemanRichard WebsterDavid ComanHimanshu GoelMathew WallisGabriel DabscheckLilian Downie","2023","http://link.springer.com/article/10.1038/s41380-022-01879-y","Article"
"Disentangling Language Disorder and Bilingualism in Children with Developmental Language Disorder and Autism Spectrum Disorder: Evidence from Writing","Journal of Autism and Developmental Disorders","","53","12","10.1007/s10803-022-05727-4","Eleni PeristeriIanthi Maria Tsimpli","2023","http://link.springer.com/article/10.1007/s10803-022-05727-4","Article"
"The Directory","The Writers Directory 1980–82","","","","10.1007/978-1-349-03650-9_1","","1979","http://link.springer.com/chapter/10.1007/978-1-349-03650-9_1","Chapter"
"Speech and Language Therapy","Longer-Term Psychiatric Inpatient Care for Adolescents","","","","10.1007/978-981-19-1950-3_14","Kelly Jones","2022","http://link.springer.com/chapter/10.1007/978-981-19-1950-3_14","Chapter"
"Convergent genetic linkage and associations to language, speech and reading measures in families of probands with Specific Language Impairment","Journal of Neurodevelopmental Disorders","","1","4","10.1007/s11689-009-9031-x","Mabel L. RiceShelley D. SmithJavier Gayán","2009","http://link.springer.com/article/10.1007/s11689-009-9031-x","Article"
"Defining language impairments in a subgroup of children with autism spectrum disorder","Science China Life Sciences","","58","10","10.1007/s11427-012-4297-8","Helen Tager-Flusberg","2015","http://link.springer.com/article/10.1007/s11427-012-4297-8","Article"
"Exploring the relation between the central auditory processing functions and language development among Arabic-speaking children with attention deficit hyperactivity disorder","The Egyptian Journal of Otolaryngology","","40","1","10.1186/s43163-023-00557-2","Mona Abdel-Fattah HegaziGhada Moharram KhalilSarah Mosaad MohamedMona Sameeh Khodeir","2024","http://link.springer.com/article/10.1186/s43163-023-00557-2","Article"
"Automated analysis of connected speech reveals early biomarkers of Parkinson’s disease in patients with rapid eye movement sleep behaviour disorder","Scientific Reports","","7","1","10.1038/s41598-017-00047-5","Jan HlavničkaRoman ČmejlaTereza TykalováKarel ŠonkaEvžen RůžičkaJan Rusz","2017","http://link.springer.com/article/10.1038/s41598-017-00047-5","Article"
"Altered human voice processing in the frontal cortex and a developmental language delay in 3- to 5-year-old children with autism spectrum disorder","Scientific Reports","","7","1","10.1038/s41598-017-17058-x","Yuko YoshimuraMitsuru KikuchiNorio HayashiHirotoshi HiraishiChiaki HasegawaTetsuya TakahashiManabu OiGerard B. RemijnTakashi IkedaDaisuke N. SaitoHirokazu KumazakiYoshio Minabe","2017","http://link.springer.com/article/10.1038/s41598-017-17058-x","Article"
"Behavioral Treatment for Speech and Language in Primary Progressive Aphasia and Primary Progressive Apraxia of Speech: A Systematic Review","Neuropsychology Review","","","","10.1007/s11065-023-09607-1","Lisa D. WautersKaren CrootHeather R. DialJoseph R. DuffyStephanie M. GrassoEsther KimKristin Schaffer MendezKirrie J. BallardHeather M. ClarkLeeah KohleyLaura L. MurrayEmily J. RogalskiMathieu FigeysLisa MilmanMaya L. Henry","2023","http://link.springer.com/article/10.1007/s11065-023-09607-1","Article"
"Memantine-induced speech problems in two patients with autistic disorder","DARU Journal of Pharmaceutical Sciences","","21","1","10.1186/2008-2231-21-54","Javad Alaghband-RadNaemeh NikvarzMehdi Tehrani-DoostPadideh Ghaeli","2013","http://link.springer.com/article/10.1186/2008-2231-21-54","Article"
"Princeton Encyclopedia of Poetry and Poetics","Princeton Encyclopedia of Poetry and Poetics","","","","10.1007/978-1-349-15617-7_1","Alex PremingerFrank J. WarnkeO. B. Hardison Jr.","1974","http://link.springer.com/chapter/10.1007/978-1-349-15617-7_1","Chapter"
"Speech and language defects","Nature","","346","6281","10.1038/346226a0","PAUL FLETCHER","1990","http://link.springer.com/article/10.1038/346226a0","Article"
"Speech and language defects","Nature","","346","6281","10.1038/346226c0","F. VARGHA-KHADEMR. E. PASSINGHAM","1990","http://link.springer.com/article/10.1038/346226c0","Article"
"The impact of expressive language development and the left inferior longitudinal fasciculus on listening and reading comprehension","Journal of Neurodevelopmental Disorders","","11","1","10.1186/s11689-019-9296-7","Stephanie N. Del TufoF. Sayako EarleLaurie E. Cutting","2019","http://link.springer.com/article/10.1186/s11689-019-9296-7","Article"
"Distinct patterns of speech disorder in early-onset and late-onset de-novo Parkinson’s disease","npj Parkinson's Disease","","7","1","10.1038/s41531-021-00243-1","Jan RuszTereza TykalováMichal NovotnýEvžen RůžičkaPetr Dušek","2021","http://link.springer.com/article/10.1038/s41531-021-00243-1","Article"
"Correction to: Identification of Native Vowels in Normal and Whispered Speech by Individuals with Autism Spectrum Disorder","Journal of Autism and Developmental Disorders","","53","2","10.1007/s10803-020-04751-6","Georgios P. Georgiou","2023","http://link.springer.com/article/10.1007/s10803-020-04751-6","Article"
"Augmenting Speech-Language Rehabilitation with Brain Computer Interfaces: An Exploratory Study Using Non-invasive Electroencephalographic Monitoring","Universal Access in Human-Computer Interaction. Access to Learning, Health and Well-Being","","","","10.1007/978-3-319-20684-4_57","Abeer Al-NafjanAreej Al-WabilYousef Al-Ohali","2015","http://link.springer.com/chapter/10.1007/978-3-319-20684-4_57","Chapter"
"Abstracts to the
12th International Congress European
Society for Child and Adolescent Psychiatry","European Child & Adolescent Psychiatry","","12","2","10.1007/s00787-003-1201-x","Prof. Ph. Jeammet Congress President and President ESCAP","2003","http://link.springer.com/article/10.1007/s00787-003-1201-x","Article"
"CHD3 helicase domain mutations cause a neurodevelopmental syndrome with macrocephaly and impaired speech and language","Nature Communications","","9","1","10.1038/s41467-018-06014-6","Lot Snijders BlokJustine RousseauJoanna TwistSophie EhresmannMotoki TakakuHanka VenselaarLance H. RodanCatherine B. NowakJessica DouglasKathryn J. SwobodaMarcie A. SteevesInderneel SahaiConnie T. R. M. StumpelAlexander P. A. StegmannPatricia WheelerMarcia Willing","2018","http://link.springer.com/article/10.1038/s41467-018-06014-6","Article"
