Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Attention/memory complaint is correlated with motor speech disorder in Parkinson’s disease","BMC Neurology","","19","1","10.1186/s12883-019-1535-8","Ying LiuYuchang GuiJincui HuShanshan LiangSixia MoYuanfang ZhouYujian LiFengkun ZhouJianwen Xu","2019","http://link.springer.com/article/10.1186/s12883-019-1535-8","Article"
"17q23.2q23.3 de novo duplication in association with speech and language disorder, learning difficulties, incoordination, motor skill impairment, and behavioral disturbances: a case report","BMC Medical Genetics","","18","1","10.1186/s12881-017-0479-3","Karen WesselJehan SuleimanTamam E. KhalafShivendra KishoreArndt RolfsAyman W. El-Hattab","2017","http://link.springer.com/article/10.1186/s12881-017-0479-3","Article"
"Abstracts of the 52nd Annual Conference of the Italian Society of Neurology","Neurological Sciences","","43","1","10.1007/s10072-022-06531-9","","2022","http://link.springer.com/article/10.1007/s10072-022-06531-9","Article"
"Bi-allelic ATG4D variants are associated with a neurodevelopmental disorder characterized by speech and motor impairment","npj Genomic Medicine","","8","1","10.1038/s41525-022-00343-8","Marie MorimotoVikas BhambhaniNour GazzazMariska DavidsPaalini SathiyaseelanEllen F. MacnamaraJennifer LangeAnna LehmanPatricia M. ZerfasJennifer L. MurphyMaria T. AcostaCamille WangEmily AldermanSara ReichertAudrey ThurmDavid R. Adams","2023","http://link.springer.com/article/10.1038/s41525-022-00343-8","Article"
"Outcome Measures in Developmental Speech Sound Disorders with a Motor Basis","Current Developmental Disorders Reports","","2","3","10.1007/s40474-015-0058-2","E. KearneyF. GranataY. YunusovaP. van LieshoutD. HaydenA. Namasivayam","2015","http://link.springer.com/article/10.1007/s40474-015-0058-2","Article"
"Malocclusion in children with speech sound disorders and motor speech involvement: a cross-sectional clinical study in Swedish children","European Archives of Paediatric Dentistry","","23","4","10.1007/s40368-022-00728-4","Å. MogrenC. HavnerA. WesterlundL. SjögreenM. Barr AgholmeA. Mcallister","2022","http://link.springer.com/article/10.1007/s40368-022-00728-4","Article"
"Abstracts of the 51st Annual Conference of the Italian Society of Neurology","Neurological Sciences","","41","1","10.1007/s10072-020-04753-3","","2020","http://link.springer.com/article/10.1007/s10072-020-04753-3","Article"
"Joint Congress of European Neurology 31 May–3 June 2014 Istanbul, Turkey","Journal of Neurology","","261","1","10.1007/s00415-014-7337-4","","2014","http://link.springer.com/article/10.1007/s00415-014-7337-4","Article"
"Compendium","Birth Defects Compendium","","","","10.1007/978-1-349-05131-1_2","Daniel Bergsma MD, MPH","1979","http://link.springer.com/chapter/10.1007/978-1-349-05131-1_2","Chapter"
"Automated analysis of connected speech reveals early biomarkers of Parkinson’s disease in patients with rapid eye movement sleep behaviour disorder","Scientific Reports","","7","1","10.1038/s41598-017-00047-5","Jan HlavničkaRoman ČmejlaTereza TykalováKarel ŠonkaEvžen RůžičkaJan Rusz","2017","http://link.springer.com/article/10.1038/s41598-017-00047-5","Article"
