Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Phonology","Encyclopedia of Clinical Neuropsychology","","","","10.1007/978-3-319-56782-2_912-3","Pamela Garn-NunnCarolyn Sotto","2018","http://link.springer.com/referenceworkentry/10.1007/978-3-319-56782-2_912-3","ReferenceWorkEntry"
"Erratum to: Impact of phonology on the generation of handwritten responses: Evidence from picture—word interference tasks","Memory & Cognition","","38","8","10.3758/MC.38.8.1162","Qingfang ZhangMarkus F. Damian","2010","http://link.springer.com/article/10.3758/MC.38.8.1162","Article"
"Can connectionist models of phonology assembly account for phonology?","Psychonomic Bulletin & Review","","8","4","10.3758/BF03196202","Iris Berent","2001","http://link.springer.com/article/10.3758/BF03196202","Article"
"A review of Wendy L. Bowcher and Bradley A. Smith (eds.), Systemic Phonology: Recent Studies in English. Sheffield: Equinox, 2014. vii + 451 pp. £85.00 (hbk), £30.00 (pbk)","Functional Linguistics","","2","1","10.1186/s40554-015-0022-9","Juanjuan Xiao","2015","http://link.springer.com/article/10.1186/s40554-015-0022-9","Article"
"Sharon Inkelas, The interplay of morphology and phonology. (Oxford surveys in syntax and morphology, 8)","Morphology","","25","2","10.1007/s11525-015-9262-3","Geert Booij","2015","http://link.springer.com/article/10.1007/s11525-015-9262-3","Article"
"Introduction: the interface of morphology and phonology","Morphology","","24","4","10.1007/s11525-014-9251-y","Dany AmiotCédric PatinNatalia GrabarFayssal TayalatiDelphine Tribout","2014","http://link.springer.com/article/10.1007/s11525-014-9251-y","Article"
"Children’s use of phonology to infer grammatical class in vocabulary learning","Psychonomic Bulletin & Review","","8","3","10.3758/BF03196187","Kimberly Wright CassidyMichael H. Kelly","2001","http://link.springer.com/article/10.3758/BF03196187","Article"
"Phonology is fundamental in skilled reading: Evidence from ERPs","Psychonomic Bulletin & Review","","17","1","10.3758/PBR.17.1.95","Jane Ashby","2010","http://link.springer.com/article/10.3758/PBR.17.1.95","Article"
"English phonology and an acoustic language universal","Scientific Reports","","7","1","10.1038/srep46049","Yoshitaka NakajimaKazuo UedaShota FujimaruHirotoshi MotomuraYuki Ohsaka","2017","http://link.springer.com/article/10.1038/srep46049","Article"
"From sound to meaning: Phonology-to-Semantics mapping in visual word recognition","Psychonomic Bulletin & Review","","24","3","10.3758/s13423-016-1152-0","Simona AmentaMarco MarelliSimone Sulpizio","2017","http://link.springer.com/article/10.3758/s13423-016-1152-0","Article"
"The role of phonology in processing morphologically complex words","Psychonomic Bulletin & Review","","27","2","10.3758/s13423-019-01683-w","Rongchao TangNaoko Witzel","2020","http://link.springer.com/article/10.3758/s13423-019-01683-w","Article"
"LEXOP: A lexical database providing orthography-phonology statistics for French monosyllabic words","Behavior Research Methods, Instruments, & Computers","","31","2","10.3758/BF03207735","Ronald PeeremanAlain Content","1999","http://link.springer.com/article/10.3758/BF03207735","Article"
"Orthography, phonology, and meaning: Word features that give rise to feelings of familiarity in recognition","Psychonomic Bulletin & Review","","11","3","10.3758/BF03196593","Anne M. Cleary","2004","http://link.springer.com/article/10.3758/BF03196593","Article"
