Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Radiation Safety for the Speech-Language Pathologist","Dysphagia","","24","3","10.1007/s00455-008-9201-0","Andrea HayesJulie M. AlspaughDetlef BarteltMolly B. CampionJohn EngBob W. GaylerSeanne E. HenkelBronwyn JonesArpana LingarajMahadevappa MaheshMark RostkowskiChristine P. SmithJudy Haynos","2009","http://link.springer.com/article/10.1007/s00455-008-9201-0","Article"
"Educating speech-language pathologists working in early intervention on environmental health","BMC Medical Education","","18","1","10.1186/s12909-018-1266-3","Emily ZimmermanCatherine BorkowskiStephanie ClarkPhil Brown","2018","http://link.springer.com/article/10.1186/s12909-018-1266-3","Article"
"Challenges in Delivering Tele-Practice Services for Communication Disorders Among Audiologists and Speech Language Pathologists","Indian Journal of Otolaryngology and Head & Neck Surgery","","74","3","10.1007/s12070-021-03032-7","Biraj BhattaraiTanvi SanghaviB. P. Abhishek","2022","http://link.springer.com/article/10.1007/s12070-021-03032-7","Article"
"Evaluation of a community of practice for speech-language pathologists in aphasia rehabilitation: a logic analysis","BMC Health Services Research","","19","1","10.1186/s12913-019-4338-0","Christine Alary GauvreauGuylaine Le DorzeDahlia KairyClaire Croteau","2019","http://link.springer.com/article/10.1186/s12913-019-4338-0","Article"
"The process of telepractice implementation during the COVID-19 pandemic: a narrative inquiry of preschool speech-language pathologists and assistants from one center in Canada","BMC Health Services Research","","22","1","10.1186/s12913-021-07454-5","Elaine Yuen Ling KwokJessica ChiuPeter RosenbaumBarbara Jane Cunningham","2022","http://link.springer.com/article/10.1186/s12913-021-07454-5","Article"
"Dysphagia therapy for head and neck cancer patients undergoing radiotherapy by speech-language pathologists in Malaysia","The Egyptian Journal of Otolaryngology","","39","1","10.1186/s43163-023-00495-z","Husmeela HussainKartini AhmadZakinah YahayaSharifa Ezat Wan PutehHasherah Mohd Ibrahim","2023","http://link.springer.com/article/10.1186/s43163-023-00495-z","Article"
"Videofluoroscopy Practice in India: A Survey of Speech-Language Pathologists","Dysphagia","","38","1","10.1007/s00455-022-10487-5","Rahul KrishnamurthyBhavana BhatPriyanka Suresh NayakRadish Kumar Balasubramanium","2023","http://link.springer.com/article/10.1007/s00455-022-10487-5","Article"
"Impact of Quantitative Videofluoroscopic Swallowing Measures on Clinical Interpretation and Recommendations by Speech-Language Pathologists","Dysphagia","","38","6","10.1007/s00455-023-10580-3","Gwen KerrisonAnna MilesJacqui AllenMichael Heron","2023","http://link.springer.com/article/10.1007/s00455-023-10580-3","Article"
"The willingness and attitudes of speech-language pathologists towards the use of mobile health technology: a survey study","BMC Health Services Research","","23","1","10.1186/s12913-023-09339-1","Soheila SaeediMarjan GhazisaeediMaryam EbrahimiMohammad-Sadegh SeifpanahiHamid Bouraghi","2023","http://link.springer.com/article/10.1186/s12913-023-09339-1","Article"
"Telehealth Management of Dysphagia in Adults: A Survey of Speech Language Pathologists’ Experiences and Perceptions","Dysphagia","","38","4","10.1007/s00455-022-10544-z","Jordanna S. SevitzJennine L. BryanSamantha S. MitchellBruce A. CraigJessica E. HuberMichelle S. TrocheGeorgia A. Malandraki","2023","http://link.springer.com/article/10.1007/s00455-022-10544-z","Article"
"Augmenting Speech-Language Rehabilitation with Brain Computer Interfaces: An Exploratory Study Using Non-invasive Electroencephalographic Monitoring","Universal Access in Human-Computer Interaction. Access to Learning, Health and Well-Being","","","","10.1007/978-3-319-20684-4_57","Abeer Al-NafjanAreej Al-WabilYousef Al-Ohali","2015","http://link.springer.com/chapter/10.1007/978-3-319-20684-4_57","Chapter"
"Cough reflex sensitivity improves with speech language pathology management of refractory chronic cough","Cough","","6","1","10.1186/1745-9974-6-5","Nicole M RyanAnne E VertiganSarah BonePeter G Gibson","2010","http://link.springer.com/article/10.1186/1745-9974-6-5","Article"
