Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Morpheme","Encyclopedia of Clinical Neuropsychology","","","","10.1007/978-3-319-56782-2_899-3","Miechelle McKelvey","2017","http://link.springer.com/referenceworkentry/10.1007/978-3-319-56782-2_899-3","ReferenceWorkEntry"
"A Support Tool for Analyzing the 3D Motions of Sign Language and the Construction of a Morpheme Dictionary","HCI International 2016 – Posters' Extended Abstracts","","","","10.1007/978-3-319-40542-1_20","Yuji NagashimaKeiko WatanabeMina TerauchiNaoto KatoTsubasa UchidaShuichi UmedaTaro MiyazakiMakiko AzumaNobuyuki Hiruma","2016","http://link.springer.com/chapter/10.1007/978-3-319-40542-1_20","Chapter"
"Extracting the latent needs of dementia patients and caregivers from transcribed interviews in japanese: an initial assessment of the availability of morpheme selection as input data with Z-scores in machine learning","BMC Medical Informatics and Decision Making","","23","1","10.1186/s12911-023-02303-3","Nanae TanemuraTsuyoshi SasakiRyotaro MiyamotoJin WatanabeMichihiro ArakiJunko SatoTsuyoshi Chiba","2023","http://link.springer.com/article/10.1186/s12911-023-02303-3","Article"
"Morpheme-based approach versus word-based approach: classifying derivative words with respect to their bases","Russian Linguistics","","42","2","10.1007/s11185-018-9197-5","Fadhel Abbas Shalal","2018","http://link.springer.com/article/10.1007/s11185-018-9197-5","Article"
"Language and Reading: the Role of Morpheme and Phoneme Awareness","Current Developmental Disorders Reports","","5","4","10.1007/s40474-018-0153-2","Lynne G. Duncan","2018","http://link.springer.com/article/10.1007/s40474-018-0153-2","Article"
"When MIPVU goes to no man’s land: a new language resource for hybrid, morpheme-based metaphor identification in Hungarian","Language Resources and Evaluation","","","","10.1007/s10579-023-09705-9","Gábor SimonTímea BajzátJúlia BallagóZsuzsanna HavasiEmese K. MolnárEszter Szlávich","2023","http://link.springer.com/article/10.1007/s10579-023-09705-9","Article"
"Visible verbal morphology: Morpheme constancy in Germanic and Romance verbal inflection","Morphology","","31","3","10.1007/s11525-020-09372-4","Nanna Fuhrhop","2021","http://link.springer.com/article/10.1007/s11525-020-09372-4","Article"
"Morphemes in their place: Evidence for position-specific identification of suffixes","Memory & Cognition","","38","3","10.3758/MC.38.3.312","Davide CrepaldiKathleen RastleColin J. Davis","2010","http://link.springer.com/article/10.3758/MC.38.3.312","Article"
"Neural encoding and production of functional morphemes in the posterior temporal lobe","Nature Communications","","9","1","10.1038/s41467-018-04235-3","Daniel K. LeeEvelina FedorenkoMirela V. SimonWilliam T. CurryBrian V. NahedDan P. CahillZiv M. Williams","2018","http://link.springer.com/article/10.1038/s41467-018-04235-3","Article"
"Processing of grammatical gender agreement morphemes in Polish: evidence from the Visual World Paradigm","Morphology","","34","1","10.1007/s11525-023-09418-3","Zuzanna Fuchs","2024","http://link.springer.com/article/10.1007/s11525-023-09418-3","Article"
"Sensitivity to Inflectional Morphemes in the Absence of Meaning: Evidence from a Novel Task","Journal of Psycholinguistic Research","","48","3","10.1007/s10936-019-09629-y","Luca CilibrasiVesna StojanovikPatricia RiddellDouglas Saddy","2019","http://link.springer.com/article/10.1007/s10936-019-09629-y","Article"
"Encoding motion events in Chinese and the “scalar specificity constraint”","Lingua Sinica","","1","1","10.1186/s40655-014-0001-1","Jingxia Lin","2015","http://link.springer.com/article/10.1186/s40655-014-0001-1","Article"
"Cophonologies by Ph(r)ase","Natural Language & Linguistic Theory","","38","4","10.1007/s11049-020-09467-x","Hannah SandePeter JenksSharon Inkelas","2020","http://link.springer.com/article/10.1007/s11049-020-09467-x","Article"
"Blackfoot Words: a database of Blackfoot lexical forms","Language Resources and Evaluation","","57","3","10.1007/s10579-022-09631-2","Natalie WeberTyler BrownJoshua CelliMcKenzie DenhamHailey DykstraRodrigo Hernandez-MerlinEvan HochsteinPinyu HwangNico KiddDiana KulmizevHannah MorrisonMatty NorrisLena Venkatraman","2023","http://link.springer.com/article/10.1007/s10579-022-09631-2","Article"
"Two words as one: A multi-naming investigation of the age-of-acquisition effect in compound-word processing","Memory & Cognition","","48","4","10.3758/s13421-019-00986-6","Mahmoud Medhat ElsherifJon C. CatlingSteven Frisson","2020","http://link.springer.com/article/10.3758/s13421-019-00986-6","Article"
"Discovery of MLL1 binding units, their localization to CpG Islands, and their potential function in mitotic chromatin","BMC Genomics","","14","1","10.1186/1471-2164-14-927","Minou BinaPhillip WyssElise NovorolskyNoorfatin ZulkelfiJing XueRandi PriceMatthew FayZach GutmannBrian FoglerDaidong Wang","2013","http://link.springer.com/article/10.1186/1471-2164-14-927","Article"
"Semelfactives are bigger than degree achievements","Natural Language & Linguistic Theory","","37","4","10.1007/s11049-018-9434-z","Lucie Taraldsen MedováBartosz Wiland","2019","http://link.springer.com/article/10.1007/s11049-018-9434-z","Article"
"Cross-clause planning in Nungon (Papua New Guinea): Eye-tracking evidence","Memory & Cognition","","51","3","10.3758/s13421-021-01253-3","Hannah S. SarvasyAdam Milton MorganJenny YuVictor S. FerreiraShota Momma","2023","http://link.springer.com/article/10.3758/s13421-021-01253-3","Article"
"The morph as a minimal linguistic form","Morphology","","30","2","10.1007/s11525-020-09355-5","Martin Haspelmath","2020","http://link.springer.com/article/10.1007/s11525-020-09355-5","Article"
"Morphological processing in developmental handwriting production: evidence from kinematics","Reading and Writing","","35","4","10.1007/s11145-021-10204-y","Stefan HessPetroula MousikouSascha Schroeder","2022","http://link.springer.com/article/10.1007/s11145-021-10204-y","Article"
"Surface Velar Palatalization in Polish","Natural Language & Linguistic Theory","","37","4","10.1007/s11049-018-9430-3","Jerzy Rubach","2019","http://link.springer.com/article/10.1007/s11049-018-9430-3","Article"
"Towards a theory of morphosyntactic focus marking","Natural Language & Linguistic Theory","","41","4","10.1007/s11049-023-09567-4","Muriel AssmannDaniel BüringIzabela JordanoskaMax Prüller","2023","http://link.springer.com/article/10.1007/s11049-023-09567-4","Article"
"From decomposition to distributed theories of morphological processing in reading","Psychonomic Bulletin & Review","","29","5","10.3758/s13423-022-02086-0","Patience StevensDavid C. Plaut","2022","http://link.springer.com/article/10.3758/s13423-022-02086-0","Article"
"Adverbial -s as last resort","Natural Language & Linguistic Theory","","40","4","10.1007/s11049-021-09527-w","Norbert Corver","2022","http://link.springer.com/article/10.1007/s11049-021-09527-w","Article"
"The morphological structure of complex place names: the case of Dutch","The Journal of Comparative Germanic Linguistics","","18","3","10.1007/s10828-015-9075-0","Björn Köhnlein","2015","http://link.springer.com/article/10.1007/s10828-015-9075-0","Article"
"Morphemic ambiguity resolution in Chinese: Activation of the subordinate meaning with a prior dominant-biased context","Psychonomic Bulletin & Review","","17","6","10.3758/PBR.17.6.875","Yiu-Kei TsangHsuan-Chih Chen","2010","http://link.springer.com/article/10.3758/PBR.17.6.875","Article"
"Cross-word morphologically conditioned scalar tone shift in Guébie","Morphology","","28","3","10.1007/s11525-018-9327-1","Hannah Sande","2018","http://link.springer.com/article/10.1007/s11525-018-9327-1","Article"
"The primacy of morphology in English braille spelling: an analysis of bridging contractions","Morphology","","","","10.1007/s11525-023-09413-8","Robert EnglebretsonM. Cay HolbrookRebecca TreimanSimon Fischer-Baum","2023","http://link.springer.com/article/10.1007/s11525-023-09413-8","Article"
"MorphoLex-FR: A derivational morphological database for 38,840 French words","Behavior Research Methods","","52","3","10.3758/s13428-019-01297-z","Hugo MailhotMaximiliano A. WilsonJoël MacoirS. Hélène DeaconClaudia Sánchez-Gutiérrez","2020","http://link.springer.com/article/10.3758/s13428-019-01297-z","Article"
"Elevation and fog-cloud similarity in Tibeto-Burman languages","Humanities and Social Sciences Communications","","10","1","10.1057/s41599-023-01877-7","Hongdi DingSicong Dong","2023","http://link.springer.com/article/10.1057/s41599-023-01877-7","Article"
"There is only one más: Spanish que/de comparative alternation","Natural Language & Linguistic Theory","","","","10.1007/s11049-023-09590-5","Luis Miguel Toquero-Pérez","2023","http://link.springer.com/article/10.1007/s11049-023-09590-5","Article"
"Statistical models of morphology predict eye-tracking measures during visual word recognition","Memory & Cognition","","47","7","10.3758/s13421-019-00931-7","Minna LehtonenMatti VarjokallioHenna KivikariAnnika HulténSami VirpiojaTero HakalaMikko KurimoKrista LagusRiitta Salmelin","2019","http://link.springer.com/article/10.3758/s13421-019-00931-7","Article"
"The Litkey Corpus: A richly annotated longitudinal corpus of German texts written by primary school children","Behavior Research Methods","","51","4","10.3758/s13428-019-01261-x","Ronja Laarmann-QuanteKatrin OrtmannAnna EhlertSimon MaslochDoreen ScholzEva BelkeStefanie Dipper","2019","http://link.springer.com/article/10.3758/s13428-019-01261-x","Article"
"Revisiting letter transpositions within and across morphemic boundaries","Psychonomic Bulletin & Review","","21","6","10.3758/s13423-014-0609-2","Jon Andoni DuñabeitiaManuel PereaManuel Carreiras","2014","http://link.springer.com/article/10.3758/s13423-014-0609-2","Article"
"Vector Semantics","Cognitive Technologies","","","","10.1007/978-981-19-5607-2","András Kornai","2023","http://link.springer.com/book/10.1007/978-981-19-5607-2","Book"
"That “certain cut”: towards a characterology of Mandarin Chinese","Functional Linguistics","","1","1","10.1186/2196-419X-1-2","MAK Halliday","2014","http://link.springer.com/article/10.1186/2196-419X-1-2","Article"
"Unraveling the linguistic nature of specific autobiographical memories using a computerized classification algorithm","Behavior Research Methods","","49","3","10.3758/s13428-016-0753-x","Keisuke TakanoMayumi UenoJun MoriyaMasaki MoriYuki NishiguchiFilip Raes","2017","http://link.springer.com/article/10.3758/s13428-016-0753-x","Article"
"Salience of the word as a unit in the perception of language","Perception & Psychophysics","","15","1","10.3758/BF03205845","Charles E. OsgoodRumjahn Hoosain","1974","http://link.springer.com/article/10.3758/BF03205845","Article"
"The time course of morphological processing during spoken word recognition in Chinese","Psychonomic Bulletin & Review","","24","6","10.3758/s13423-017-1274-z","Wei ShenQingqing QuAiping NiJunyi ZhouXingshan Li","2017","http://link.springer.com/article/10.3758/s13423-017-1274-z","Article"
"Cognitive skills and literacy performance of Chinese adolescents with and without dyslexia","Reading and Writing","","24","7","10.1007/s11145-010-9227-1","Kevin K. H. ChungConnie S. -H. HoDavid W. ChanSuk-Man TsangSuk-Han Lee","2011","http://link.springer.com/article/10.1007/s11145-010-9227-1","Article"
"Letter transpositions within and across morphemic boundaries: Is there a cross-language difference?","Psychonomic Bulletin & Review","","20","5","10.3758/s13423-013-0425-0","Claudia Sánchez-GutiérrezKathleen Rastle","2013","http://link.springer.com/article/10.3758/s13423-013-0425-0","Article"
"Delayed commitment in spoken word recognition: Evidence from cross-modal priming","Perception & Psychophysics","","60","3","10.3758/BF03206868","Paul A. LuceMichael S. Cluff","1998","http://link.springer.com/article/10.3758/BF03206868","Article"
