Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Differential Diagnosis of Pediatric Speech Sound Disorder","Current Developmental Disorders Reports","","1","3","10.1007/s40474-014-0017-3","Barbara Dodd","2014","http://link.springer.com/article/10.1007/s40474-014-0017-3","Article"
"Bilingualism and Speech Sound Disorders","Current Developmental Disorders Reports","","2","3","10.1007/s40474-015-0049-3","Brian A. GoldsteinChristina E. Gildersleeve-Neumann","2015","http://link.springer.com/article/10.1007/s40474-015-0049-3","Article"
"Malocclusion in children with speech sound disorders and motor speech involvement: a cross-sectional clinical study in Swedish children","European Archives of Paediatric Dentistry","","23","4","10.1007/s40368-022-00728-4","Å. MogrenC. HavnerA. WesterlundL. SjögreenM. Barr AgholmeA. Mcallister","2022","http://link.springer.com/article/10.1007/s40368-022-00728-4","Article"
"Outcome Measures in Developmental Speech Sound Disorders with a Motor Basis","Current Developmental Disorders Reports","","2","3","10.1007/s40474-015-0058-2","E. KearneyF. GranataY. YunusovaP. van LieshoutD. HaydenA. Namasivayam","2015","http://link.springer.com/article/10.1007/s40474-015-0058-2","Article"
"The mental representation of sounds in speech sound disorders","Humanities and Social Sciences Communications","","8","1","10.1057/s41599-021-00706-z","Soujanya PathiPrakash Mondal","2021","http://link.springer.com/article/10.1057/s41599-021-00706-z","Article"
"Phonological awareness training and phonological therapy approaches for specific language impairment children with speech sound disorders: a comparative outcome study","European Archives of Oto-Rhino-Laryngology","","281","1","10.1007/s00405-023-08274-5","Heba Mahmoud FaragHossam EldessoukyElham ShahinMai Atef","2024","http://link.springer.com/article/10.1007/s00405-023-08274-5","Article"
"Compendium","Birth Defects Compendium","","","","10.1007/978-1-349-05131-1_2","Daniel Bergsma MD, MPH","1979","http://link.springer.com/chapter/10.1007/978-1-349-05131-1_2","Chapter"
"Use of Videos and Digital Media in Parent-implemented Interventions for Parents of Children with Primary Speech Sound And/or Language Disorders: A Scoping Review","Journal of Child and Family Studies","","29","12","10.1007/s10826-020-01842-x","Monica L. Bellon-HarnLekeitha R. MorrisVinaya ManchaiahWilliam E. Harn","2020","http://link.springer.com/article/10.1007/s10826-020-01842-x","Article"
"Autism Spectrum Disorder and auditory sensory alterations: a systematic review on the integrity of cognitive and neuronal functions related to auditory processing","Journal of Neural Transmission","","130","3","10.1007/s00702-023-02595-9","Ana Margarida GonçalvesPatricia Monteiro","2023","http://link.springer.com/article/10.1007/s00702-023-02595-9","Article"
"Language, Speech, and Voice Citations","Hearing, Speech, and Communication Disorders","","","","10.1007/978-1-4757-0626-0_2","","1974","http://link.springer.com/chapter/10.1007/978-1-4757-0626-0_2","Chapter"
"Princeton Encyclopedia of Poetry and Poetics","Princeton Encyclopedia of Poetry and Poetics","","","","10.1007/978-1-349-15617-7_1","Alex PremingerFrank J. WarnkeO. B. Hardison Jr.","1974","http://link.springer.com/chapter/10.1007/978-1-349-15617-7_1","Chapter"
"Speech assessment tool methods for speech impaired children: a systematic literature review on the state-of-the-art in Speech impairment analysis","Multimedia Tools and Applications","","82","22","10.1007/s11042-023-14913-0","Gowri Prasood UshaJohn Sahaya Rani Alex","2023","http://link.springer.com/article/10.1007/s11042-023-14913-0","Article"
"Memantine-induced speech problems in two patients with autistic disorder","DARU Journal of Pharmaceutical Sciences","","21","1","10.1186/2008-2231-21-54","Javad Alaghband-RadNaemeh NikvarzMehdi Tehrani-DoostPadideh Ghaeli","2013","http://link.springer.com/article/10.1186/2008-2231-21-54","Article"
"The importance of deep speech phenotyping for neurodevelopmental and genetic disorders: a conceptual review","Journal of Neurodevelopmental Disorders","","14","1","10.1186/s11689-022-09443-z","Karen V. ChenauskyHelen Tager-Flusberg","2022","http://link.springer.com/article/10.1186/s11689-022-09443-z","Article"
