Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Stuttering","Encyclopedia of Autism Spectrum Disorders","","","","10.1007/978-1-4614-6435-8_990-3","Elizabeth Schoen Simmons","2017","http://link.springer.com/referenceworkentry/10.1007/978-1-4614-6435-8_990-3","ReferenceWorkEntry"
"Attenuated connectivity in networks associated with self-paced movement control may underlie childhood stuttering","Nature Reviews Neurology","","9","12","10.1038/nrneurol.2013.243","","2013","http://link.springer.com/article/10.1038/nrneurol.2013.243","Article"
"Studying stuttering mice","Lab Animal","","48","10","10.1038/s41684-019-0411-x","Ellen P. Neff","2019","http://link.springer.com/article/10.1038/s41684-019-0411-x","Article"
"Stuttering and the State of the Union","Academic Psychiatry","","46","6","10.1007/s40596-022-01709-x","Greg Mahr","2022","http://link.springer.com/article/10.1007/s40596-022-01709-x","Article"
"Stuttering studies support treatment","Nature","","470","7335","10.1038/470465b","Mark OnslowAnn PackmanPeter Howell","2011","http://link.springer.com/article/10.1038/470465b","Article"
"Assessment of Egyptian children who stutter using the standardized Arabic form of the Test of Childhood Stuttering","The Egyptian Journal of Otolaryngology","","31","3","10.4103/1012-5574.159789","Rania Abdou","2015","http://link.springer.com/article/10.4103/1012-5574.159789","Article"
"Voluntary stuttering suppresses true stuttering: A window on the speech perception-production link","Perception & Psychophysics","","66","2","10.3758/BF03194876","Tim SaltuklarogluJoseph KalinowskiVikram N. DayaluAndrew StuartMichael P. Rastatter","2004","http://link.springer.com/article/10.3758/BF03194876","Article"
"Correlation between stuttering severity and pragmatic development in Egyptian children who stutter","The Egyptian Journal of Otolaryngology","","33","4","10.4103/ejo.ejo_60_17","Sabah Mohammed HassanYossra Abdel Naby SallamMona Sameeh KhodeirOla Shaaban Mahmoud","2017","http://link.springer.com/article/10.4103/ejo.ejo_60_17","Article"
"Capsule Commentary on Perez, Doig-Acuna, and Starrels, “Not Unless It’s a Life or Death Thing”: A Qualitative Study of the Health Care Experiences of Adults Who Stutter","Journal of General Internal Medicine","","30","11","10.1007/s11606-015-3434-z","Josephine M. Mancuso PhD, ANP-BC","2015","http://link.springer.com/article/10.1007/s11606-015-3434-z","Article"
"Mutant mouse model stutters in squeaks","Lab Animal","","45","6","10.1038/laban.1033","Gregory D. Larsen","2016","http://link.springer.com/article/10.1038/laban.1033","Article"
"Lifestyle profile of school-aged children suffering from pathological stuttering","The Egyptian Journal of Otolaryngology","","31","1","10.4103/1012-5574.152711","Rahma S. BhgatMohamed E. Darweesh MDMervat A. Ahmed","2015","http://link.springer.com/article/10.4103/1012-5574.152711","Article"
"Parental attitudes and knowledge of stuttering","The Egyptian Journal of Otolaryngology","","30","2","10.4103/1012-5574.133220","Rasha F. Safwat MDAya Sheikhany","2014","http://link.springer.com/article/10.4103/1012-5574.133220","Article"
"Learning and Detecting Stuttering Disorders","Artificial Intelligence Applications and Innovations","","","","10.1007/978-3-030-19823-7_26","Fabio FassettiIlaria FassettiSimona Nisticò","2019","http://link.springer.com/chapter/10.1007/978-3-030-19823-7_26","Chapter"
"IFNAR1 gene mutation may contribute to developmental stuttering in the Chinese population","Hereditas","","158","1","10.1186/s41065-021-00211-y","Yimin SunYong GaoYuxi ZhouYulong ZhouYing ZhangDong WangLi-Hai Tan","2021","http://link.springer.com/article/10.1186/s41065-021-00211-y","Article"
"Genetic approaches to understanding the causes of stuttering","Journal of Neurodevelopmental Disorders","","3","4","10.1007/s11689-011-9090-7","Dennis DraynaChangsoo Kang","2011","http://link.springer.com/article/10.1007/s11689-011-9090-7","Article"
"The study of central auditory processing in stuttering children","The Egyptian Journal of Otolaryngology","","30","4","10.4103/1012-5574.144976","Samir Asal MDRania M. Abdou","2014","http://link.springer.com/article/10.4103/1012-5574.144976","Article"
"Survey on Cairene primary school teachers’ knowledge and attitude about stuttering","The Egyptian Journal of Otolaryngology","","38","1","10.1186/s43163-022-00345-4","Dina Ahmed ElrefaieMahmoud Youssef Abou El EllaAmal Saeed Abd El HalimRanda Reda Gobran","2022","http://link.springer.com/article/10.1186/s43163-022-00345-4","Article"
"Word length and frequency as determinants of stuttering","Psychonomic Science","","6","6","10.3758/BF03328054","I. M. SchlesingerRachel MelkmanRon Levy","1966","http://link.springer.com/article/10.3758/BF03328054","Article"
