Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"ClearSpeechTogether: a Rater Blinded, Single, Controlled Feasibility Study of Speech Intervention for People with Progressive Ataxia","The Cerebellum","","22","5","10.1007/s12311-022-01462-9","Anja LowitJessica CoxMelissa LoucasJennifer GrasslyAisling EganFrits van BrenkMarios Hadjivassiliou","2023","http://link.springer.com/article/10.1007/s12311-022-01462-9","Article"
"The effects of stimulation intervention on speech development of children 1-3 years old in Iodine Deficiency Disorders (IDD) area","International Journal of Pediatric Endocrinology","","2013","1","10.1186/1687-9856-2013-S1-P148","Asri PurwantiSaldi FitraAgustini UtariRudy Susanto","2013","http://link.springer.com/article/10.1186/1687-9856-2013-S1-P148","Article"
"The applicability of normalisation process theory to speech and language therapy: a review of qualitative research on a speech and language intervention","Implementation Science","","6","1","10.1186/1748-5908-6-95","Deborah M James","2011","http://link.springer.com/article/10.1186/1748-5908-6-95","Article"
"PROMPT intervention for children with severe speech motor delay: a randomized control trial","Pediatric Research","","89","3","10.1038/s41390-020-0924-4","Aravind K. NamasivayamAnna HuynhFrancesca GranataVina LawPascal van Lieshout","2021","http://link.springer.com/article/10.1038/s41390-020-0924-4","Article"
"Feasibility of an app-based parent-mediated speech production intervention for minimally verbal autistic children: development and pilot testing of a new intervention","Pilot and Feasibility Studies","","6","1","10.1186/s40814-020-00726-7","Jo SaulCourtenay Norbury","2020","http://link.springer.com/article/10.1186/s40814-020-00726-7","Article"
"Value of early intervention for hearing impairment on language and speech acquisition","The Egyptian Journal of Otolaryngology","","30","3","10.4103/1012-5574.138483","Ebtessam NadaAhmad KhaterAmal Saeed","2014","http://link.springer.com/article/10.4103/1012-5574.138483","Article"
"Motor-Based Intervention Protocols in Treatment of Childhood Apraxia of Speech (CAS)","Current Developmental Disorders Reports","","1","3","10.1007/s40474-014-0016-4","E. MaasC. E. Gildersleeve-NeumannK. J. JakielskiR. Stoeckel","2014","http://link.springer.com/article/10.1007/s40474-014-0016-4","Article"
"Treatment fidelity monitoring, reporting and findings in a complex aphasia intervention trial: a substudy of the Very Early Rehabilitation in SpEech (VERSE) trial","Trials","","23","1","10.1186/s13063-022-06433-3","Erin GodeckeEmily BroganNatalie CicconeMiranda L. RoseElizabeth ArmstrongAnne WhitworthFiona ElleryAudrey HollandSandy MiddletonTapan RaiGraeme J. HankeyDominique CadilhacJulie Bernhardt","2022","http://link.springer.com/article/10.1186/s13063-022-06433-3","Article"
"Communication Bridge™-2 (CB2): an NIH Stage 2 randomized control trial of a speech-language intervention for communication impairments in individuals with mild to moderate primary progressive aphasia","Trials","","23","1","10.1186/s13063-022-06162-7","Angela C. RobertsAlfred W. RademakerElizabeth Ann SalleyAimee MooneyDarby MorhardtMelanie Fried-OkenSandra WeintraubMarsel MesulamEmily Rogalski","2022","http://link.springer.com/article/10.1186/s13063-022-06162-7","Article"
"Educating speech-language pathologists working in early intervention on environmental health","BMC Medical Education","","18","1","10.1186/s12909-018-1266-3","Emily ZimmermanCatherine BorkowskiStephanie ClarkPhil Brown","2018","http://link.springer.com/article/10.1186/s12909-018-1266-3","Article"
"Safer Patients Empowered to Engage and Communicate about Health (SPEECH) in primary care: a feasibility study and process evaluation of an intervention for older people with multiple long-term conditions (multimorbidity)","BMC Primary Care","","25","1","10.1186/s12875-023-02221-3","Rebecca GouldingKelly BirtwellMark HannSarah PetersHarm van MarwijkPeter Bower","2024","http://link.springer.com/article/10.1186/s12875-023-02221-3","Article"
