Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Pupils' auditory perception accuracy under different musical and conceptual auditory inputs","Annals of General Psychiatry","","7","1","10.1186/1744-859X-7-S1-S195","Vassiliki IliadouGeorgia NikolaidouStergios KaprinisGeorge Kaprinis","2008","http://link.springer.com/article/10.1186/1744-859X-7-S1-S195","Article"
"Synthesis of an Optimal Wavelet Based on Auditory Perception Criterion","EURASIP Journal on Advances in Signal Processing","","2011","1","10.1155/2011/170927","Abhijit KarmakarArun KumarR. K. Patney","2011","http://link.springer.com/article/10.1155/2011/170927","Article"
"Stability of auditory perception of words and pure tones under repetitive stimulation in neutral and suggestibility conditions","Psychonomic Science","","13","6","10.3758/BF03342588","Bernard FenelonJudith A. Blayden","1968","http://link.springer.com/article/10.3758/BF03342588","Article"
"RIM2α/RBP2/β-subunit co-expression stabilizes slow Cav1.3 channel inactivation to improve auditory perception","Pflügers Archiv - European Journal of Physiology","","472","1","10.1007/s00424-019-02339-3","Emilio Carbone","2020","http://link.springer.com/article/10.1007/s00424-019-02339-3","Article"
"Aspects of Auditory Perception and Cognition for Usable Display Resolution in Data Sonification","Human-Computer Interaction – INTERACT 2009","","","","10.1007/978-3-642-03655-2_52","Johan Kildal","2009","http://link.springer.com/chapter/10.1007/978-3-642-03655-2_52","Chapter"
"Prediction of Hearing Loss Based on Auditory Perception: A Preliminary Study","PRedictive Intelligence in MEdicine","","","","10.1007/978-3-030-00320-3_5","Muhammad IlyasAlice OthmaniAmine Nait-Ali","2018","http://link.springer.com/chapter/10.1007/978-3-030-00320-3_5","Chapter"
"Age-related changes in auditory perception. Hearing loss in the elderly: aging ear or aging brain?","Aging Clinical and Experimental Research","","35","11","10.1007/s40520-023-02570-0","Davide BrottoFrancesco BenvegnùAnna ColomboCosimo de FilippisAlessandro MartiniNiccolò Favaretto","2023","http://link.springer.com/article/10.1007/s40520-023-02570-0","Article"
"Auditory perception of dissonant polyrhythms","Perception & Psychophysics","","34","6","10.3758/BF03205915","Cecile Beauvillain","1983","http://link.springer.com/article/10.3758/BF03205915","Article"
"Robot Emotional State through Bayesian Visuo-Auditory Perception","Technological Innovation for Sustainability","","","","10.1007/978-3-642-19170-1_18","José Augusto PradoCarlos SimplícioJorge Dias","2011","http://link.springer.com/chapter/10.1007/978-3-642-19170-1_18","Chapter"
"The familiar-melody advantage in auditory perceptual development: Parallels between spoken language acquisition and general auditory perception","Attention, Perception, & Psychophysics","","81","4","10.3758/s13414-018-01663-7","Sarah C. Creel","2019","http://link.springer.com/article/10.3758/s13414-018-01663-7","Article"
