Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Two classes of auditory processing disorder (APD) in children","Annals of General Psychiatry","","7","1","10.1186/1744-859X-7-S1-S10","David Moore","2008","http://link.springer.com/article/10.1186/1744-859X-7-S1-S10","Article"
"Phonemic and grapheme perception in dyslexia and (Central) Auditory Processing Disorder","Annals of General Psychiatry","","7","1","10.1186/1744-859X-7-S1-S310","Anna KritsiVasiliki IliadouStergios KaprinisVasiliki BizeliDimitrios KandylisGeorge Kaprinis","2008","http://link.springer.com/article/10.1186/1744-859X-7-S1-S310","Article"
"Introduction to auditory processing disorder - the language ‘barrier’","Annals of General Psychiatry","","7","1","10.1186/1744-859X-7-S1-S9","Vasiliki Iliadou","2008","http://link.springer.com/article/10.1186/1744-859X-7-S1-S9","Article"
"Auditory processing disorders in neurological patients and in patients with developmental disorders","Annals of General Psychiatry","","7","1","10.1186/1744-859X-7-S1-S12","Doris-Eva Bamiou","2008","http://link.springer.com/article/10.1186/1744-859X-7-S1-S12","Article"
"Comparative Laterality in (central) auditory processing disorders and dyslexia","Annals of General Psychiatry","","7","1","10.1186/1744-859X-7-S1-S194","Vassiliki IliadouStergios KaprinisDimitrios KandylisStefanos IakovidisGeorge Kaprinis","2008","http://link.springer.com/article/10.1186/1744-859X-7-S1-S194","Article"
"Friedreich’s Ataxia and Auditory Processing Disorder","The Cerebellum","","20","4","10.1007/s12311-021-01238-7","Helio AG TeiveVasiliki Maria IliadouMario Manto","2021","http://link.springer.com/article/10.1007/s12311-021-01238-7","Article"
"Comparing outcome of formal and informal remediation programs in children with central auditory processing disorder","The Egyptian Journal of Otolaryngology","","33","2","10.4103/ejo.ejo_3_17","Samah M. Oraky MScSomaia TawfikMohamed SalamaEnass S. Mohamed","2017","http://link.springer.com/article/10.4103/ejo.ejo_3_17","Article"
"Contribution of psychoacoustics and neuroaudiology in revealing correlation of mental disorders with central auditory processing disorders","Annals of General Hospital Psychiatry","","2","1","10.1186/1475-2832-2-5","V IliadouS Iakovides","2003","http://link.springer.com/article/10.1186/1475-2832-2-5","Article"
"Clinical psychoacoustics in Alzheimer's disease central auditory processing disorders and speech deterioration","Annals of General Hospital Psychiatry","","2","1","10.1186/1475-2832-2-12","Vassiliki IliadouStergios Kaprinis","2003","http://link.springer.com/article/10.1186/1475-2832-2-12","Article"
"A data-driven approach to identify a rapid screener for auditory processing disorder testing referrals in adults","Scientific Reports","","13","1","10.1038/s41598-023-40645-0","Victoria E. CancelJacie R. McHaneyVirginia MilneCatherine PalmerAravindakshan Parthasarathy","2023","http://link.springer.com/article/10.1038/s41598-023-40645-0","Article"
"Reduced resting-state brain activity in the default mode network in children with (central) auditory processing disorders","Behavioral and Brain Functions","","10","1","10.1186/1744-9081-10-33","Agnieszka PlutaTomasz WolakNatalia CzajkaMonika LewandowskaKatarzyna CieślaMateusz RusiniakDiana GrudzieńHenryk Skarżyński","2014","http://link.springer.com/article/10.1186/1744-9081-10-33","Article"
"Deficient auditory processing identified in children with suspected autism spectrum disorder","Nature Reviews Neurology","","8","2","10.1038/nrneurol.2011.221","","2012","http://link.springer.com/article/10.1038/nrneurol.2011.221","Article"
"Autism Spectrum Disorder and auditory sensory alterations: a systematic review on the integrity of cognitive and neuronal functions related to auditory processing","Journal of Neural Transmission","","130","3","10.1007/s00702-023-02595-9","Ana Margarida GonçalvesPatricia Monteiro","2023","http://link.springer.com/article/10.1007/s00702-023-02595-9","Article"
"Dysfunctional information processing during an auditory event-related potential task in individuals with Internet gaming disorder","Translational Psychiatry","","6","1","10.1038/tp.2015.215","M ParkJ-S ChoiS M ParkJ-Y LeeH Y JungB K SohnS N KimD J KimJ S Kwon","2016","http://link.springer.com/article/10.1038/tp.2015.215","Article"
"Virtually spatialized sounds enhance auditory processing in healthy participants and patients with a disorder of consciousness","Scientific Reports","","11","1","10.1038/s41598-021-93151-6","Lizette HeineAlexandra CorneyllieFlorent GobertJacques LuautéMathieu LavandierFabien Perrin","2021","http://link.springer.com/article/10.1038/s41598-021-93151-6","Article"
"Exploring the relation between the central auditory processing functions and language development among Arabic-speaking children with attention deficit hyperactivity disorder","The Egyptian Journal of Otolaryngology","","40","1","10.1186/s43163-023-00557-2","Mona Abdel-Fattah HegaziGhada Moharram KhalilSarah Mosaad MohamedMona Sameeh Khodeir","2024","http://link.springer.com/article/10.1186/s43163-023-00557-2","Article"
"Neurophysiological measures of auditory sensory processing are associated with adaptive behavior in children with Autism Spectrum Disorder","Journal of Neurodevelopmental Disorders","","15","1","10.1186/s11689-023-09480-2","Mairin CotterSeydanur ReisliAna Alves FranciscoKathryn-Mary WakimLeona OakesMichael J. CrosseJohn J. FoxeSophie Molholm","2023","http://link.springer.com/article/10.1186/s11689-023-09480-2","Article"
"Exploratory evidence for differences in GABAergic regulation of auditory processing in autism spectrum disorder","Translational Psychiatry","","13","1","10.1038/s41398-023-02619-8","Qiyun HuangHester VelthuisAndreia C. PereiraJumana AhmadSamuel F. CookeClaire L. EllisFrancesca M. PonteduroNicolaas A. J. PutsMihail DimitrovDafnis BatalleNichol M. L. WongLukasz KowalewskiGlynis IvinEileen DalyDeclan G. M. MurphyGráinne M. McAlonan","2023","http://link.springer.com/article/10.1038/s41398-023-02619-8","Article"
"Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I","Journal of Neurodevelopmental Disorders","","13","1","10.1186/s11689-021-09364-3","Jannath Begum-AliAnna Kolesnik-TaylorIsabel QuirozLuke MasonShruti GargJonathan GreenMark H. JohnsonEmily J. H. Jones","2021","http://link.springer.com/article/10.1186/s11689-021-09364-3","Article"
"Auditory brainstem response deficits in learning disorders and developmental language disorder: a systematic review and meta-analysis","Scientific Reports","","12","1","10.1038/s41598-022-20438-7","Lisa K. ChinnMarina A. ZhukovaRyan J. KroegerLeandro M. LedesmaJoslyn E. CavittElena L. Grigorenko","2022","http://link.springer.com/article/10.1038/s41598-022-20438-7","Article"
"Brief Report: Can You See What is Not There? Low-level Auditory–visual Integration in Autism Spectrum Disorder","Journal of Autism and Developmental Disorders","","37","10","10.1007/s10803-006-0346-0","Maarten J. van der SmagtHerman van EngelandChantal Kemner","2007","http://link.springer.com/article/10.1007/s10803-006-0346-0","Article"
