Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Sentence comprehension in Williams syndrome and specific language impairment: a comparative approach","Annals of General Hospital Psychiatry","","2","1","10.1186/1475-2832-2-S1-S86","S Stavrakaki","2003","http://link.springer.com/article/10.1186/1475-2832-2-S1-S86","Article"
"Comprehension of past tense marking in Greek developmental dyslexia: language impairment or processing deficit?","Annals of General Psychiatry","","5","1","10.1186/1744-859X-5-S1-S246","Angeliki ZachouHarald ClahsenStavroula Stavrakaki","2006","http://link.springer.com/article/10.1186/1744-859X-5-S1-S246","Article"
"Erratum to: Diagnostic Differentiation of Autism Spectrum Disorders and Pragmatic Language Impairment","Journal of Autism and Developmental Disorders","","41","12","10.1007/s10803-011-1235-8","Lisa M. ReisingerKim M. CornishÉric Fombonne","2011","http://link.springer.com/article/10.1007/s10803-011-1235-8","Article"
"Language impairment in premorbid cases of schizophrenia: a path to early detection of the disease","Annals of General Psychiatry","","5","1","10.1186/1744-859X-5-S1-S268","Eleni Katsouni","2006","http://link.springer.com/article/10.1186/1744-859X-5-S1-S268","Article"
"Erratum: Parental phonological memory contributes to prediction of outcome of late talkers from 20 months to 4 years: a longitudinal study of precursors of specific language impairment","Journal of Neurodevelopmental Disorders","","7","1","10.1186/s11689-015-9110-0","Dorothy VM BishopGeorgina HoltElizabeth LineDavid McDonaldSarah McDonaldHelen Watt","2015","http://link.springer.com/article/10.1186/s11689-015-9110-0","Article"
"Correction to: Tumor location-based classification of surgery-related language impairments in patients with glioma","Journal of Neuro-Oncology","","155","2","10.1007/s11060-021-03871-y","Shengyu FangYuchao LiangLianwang LiLei WangXing FanYinyan WangTao Jiang","2021","http://link.springer.com/article/10.1007/s11060-021-03871-y","Article"
"Correction: Pleiotropy between language impairment and broader behavioral disorders—an investigation of both common and rare genetic variants","Journal of Neurodevelopmental Disorders","","15","1","10.1186/s11689-023-09499-5","Ron NudelVivek AppaduraiAlfonso BuilMerete NordentoftThomas Werge","2023","http://link.springer.com/article/10.1186/s11689-023-09499-5","Article"
"Specific language impairment: speech perception in relation to noise","The Egyptian Journal of Otolaryngology","","37","1","10.1186/s43163-021-00115-8","Trandil H. ElmahallawiTakwa A. GabrMohamad E. DarwishFatma M. Seleem","2021","http://link.springer.com/article/10.1186/s43163-021-00115-8","Article"
"Non-primary progressive language impairment in neurodegenerative conditions: protocol for a scoping review","Systematic Reviews","","10","1","10.1186/s13643-021-01589-6","Sharon A. SavageAida Suárez-GonzálezAlice CassaniRagaviveka GopalanJoshua Stott","2021","http://link.springer.com/article/10.1186/s13643-021-01589-6","Article"
"Screening for Specific Language Impairment in Preschool Children: Evaluating a Screening Procedure Including the Token Test","Journal of Psycholinguistic Research","","46","5","10.1007/s10936-017-9493-z","Ulrike WillingerMichaela SchmoegerMatthias DeckertBrigitte EisenwortBenjamin LoaderAnnemarie HofmairEduard Auff","2017","http://link.springer.com/article/10.1007/s10936-017-9493-z","Article"
"Polyunsaturated fatty acids supplementation can improve specific language impairment in preschool children: a pilot study","The Egyptian Journal of Neurology, Psychiatry and Neurosurgery","","56","1","10.1186/s41983-020-0158-8","Dalia G. YasseenNermien E. WalyKhaled O. Abdulghani","2020","http://link.springer.com/article/10.1186/s41983-020-0158-8","Article"
"Important aspects in the assessment of bilingual children with suspected language impairment: The Vienna Model","neuropsychiatrie","","35","3","10.1007/s40211-020-00361-x","Ao.Univ.Prof. Dr. phil. Brigitte EisenwortCarolin SchmidMaksim TilisDmitrij TsoyGabriela Diendorfer-RadnerAnika SedlaczekClaudia Klier","2021","http://link.springer.com/article/10.1007/s40211-020-00361-x","Article"
"Association of epileptiform brain activity and specific language impairment (SLI) in preschool children","The Egyptian Journal of Neurology, Psychiatry and Neurosurgery","","57","1","10.1186/s41983-021-00269-5","Ahmed EsmaelSara ElsherbenyMohammed Abbas","2021","http://link.springer.com/article/10.1186/s41983-021-00269-5","Article"
"An investigation of NFXL1, a gene implicated in a study of specific language impairment","Journal of Neurodevelopmental Disorders","","8","1","10.1186/s11689-016-9146-9","Ron Nudel","2016","http://link.springer.com/article/10.1186/s11689-016-9146-9","Article"
"Characterisation of CASPR2 deficiency disorder - a syndrome involving autism, epilepsy and language impairment","BMC Medical Genetics","","17","1","10.1186/s12881-016-0272-8","Pedro Rodenas-CuadradoNicola PietrafusaTeresa FrancavillaAngela La NevePasquale StrianoSonja C. Vernes","2016","http://link.springer.com/article/10.1186/s12881-016-0272-8","Article"
"Interstitial 287 kb deletion of 4p16.3 including FGFRL1 gene associated with language impairment and overgrowth","Molecular Cytogenetics","","7","1","10.1186/s13039-014-0087-2","Eunice MatosoFabiana RamosJosé FerrãoLuís M PiresAlexandra MascarenhasJoana B MeloIsabel M Carreira","2014","http://link.springer.com/article/10.1186/s13039-014-0087-2","Article"
"FOXP2 gene and language impairment in schizophrenia: association and epigenetic studies","BMC Medical Genetics","","11","1","10.1186/1471-2350-11-114","Amparo TolosaJulio SanjuánAdam M DagnallMaría D MoltóNeus HerreroRosa de Frutos","2010","http://link.springer.com/article/10.1186/1471-2350-11-114","Article"
"The comparison of perceived health-related quality of life between Australian children with severe specific language impairment to age and gender-matched peers","BMC Pediatrics","","18","1","10.1186/s12887-018-1058-2","Kristy NicolaPauline Watter","2018","http://link.springer.com/article/10.1186/s12887-018-1058-2","Article"
"Toward epigenetic and gene regulation models of specific language impairment: looking for links among growth, genes, and impairments","Journal of Neurodevelopmental Disorders","","4","1","10.1186/1866-1955-4-27","Mabel L Rice","2012","http://link.springer.com/article/10.1186/1866-1955-4-27","Article"
"Motor Issues in Specific Language Impairment: a Window into the Underlying Impairment","Current Developmental Disorders Reports","","2","3","10.1007/s40474-015-0051-9","Teenu SanjeevanDavid A. RosenbaumCarol MillerJanet G. van HellDaniel J. WeissElina Mainela-Arnold","2015","http://link.springer.com/article/10.1007/s40474-015-0051-9","Article"
"Language impairment in adults with end-stage liver disease: application of natural language processing towards patient-generated health records","npj Digital Medicine","","2","1","10.1038/s41746-019-0179-9","Lindsay K. DickersonMasoud RouhizadehYelena KorotkayaMary Grace BowringAllan B. MassieMara A. McAdams-DemarcoDorry L. SegevAlicia CannonAnthony L. GuerrerioPo-Hung ChenBenjamin N. PhilosopheDouglas B. Mogul","2019","http://link.springer.com/article/10.1038/s41746-019-0179-9","Article"
